RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30
394679,150,"Hickory, NC",msa,NC,172501.0,174776.0,176390.0,179410.0,182761.0,186238.0,183567.0,189709.0,187295.0,197517.0,195558.0,198480.0,193204.0,196766.0,202061.0,208241.0,208066.0,200606.0,203286.0,206927.0,213661.0,207999.0,211232.0,216969.0,226369.0,233176.0,237582.0,242207.0,242176.0,242112.0,242750.0,243713.0,239843.0,234774.0,242059.0,245610.0,250821.0,247806.0,255024.0,262217.0,266534.0,265880.0,267499.0,272285.0,277061.0,274213.0,276201.0,283317.0,289787.0,294122.0,288305.0,284035.0,283262.0,291382.0,298856.0,297606.0,296117.0,293809.0,302386.0,305310.0,307574.0,302738.0,298499.0,293625.0,302417.0,310206.0,314117.0,312787.0,325325.0,341144.0,340445.0,327447.0,315944.0,317691.0
394697,151,"Huntington, WV",msa,OH,136334.0,142434.0,141751.0,144849.0,145363.0,146646.0,149013.0,146688.0,145034.0,137564.0,140621.0,140480.0,144133.0,143841.0,144623.0,144481.0,142666.0,144487.0,146375.0,150308.0,153417.0,151535.0,145243.0,139814.0,146826.0,155337.0,159092.0,162849.0,164277.0,165431.0,158137.0,158016.0,156875.0,163035.0,164209.0,167615.0,166072.0,167979.0,173889.0,178243.0,177148.0,173522.0,168217.0,170070.0,173595.0,178907.0,186077.0,188766.0,190632.0,184537.0,189095.0,190225.0,188259.0,177449.0,166143.0,168540.0,173524.0,182326.0,185424.0,187947.0,189267.0,186188.0,183373.0,182187.0,192145.0,194091.0,192737.0,185334.0,185965.0,194631.0,198966.0,202572.0,194835.0,196626.0
394602,152,"Fort Collins, CO",msa,CO,420854.0,413647.0,408965.0,408330.0,413838.0,417892.0,419782.0,424074.0,424261.0,423999.0,429416.0,432319.0,432720.0,427646.0,428228.0,421072.0,423343.0,420817.0,423575.0,424055.0,431582.0,444066.0,445777.0,447391.0,454022.0,469761.0,483696.0,478029.0,469933.0,463363.0,478582.0,491169.0,497479.0,506010.0,511906.0,526224.0,531415.0,534126.0,541025.0,541709.0,552404.0,554049.0,569681.0,587198.0,614439.0,627039.0,624736.0,619705.0,604103.0,602845.0,603866.0,618667.0,618283.0,620611.0,611145.0,616425.0,609745.0,618741.0,619897.0,633926.0,635313.0,640050.0,618020.0,608551.0,602602.0,613058.0,619160.0,636393.0,643246.0,651570.0,644394.0,639349.0,639477.0,635580.0
395033,153,"Rockford, IL",msa,IL,129653.0,131445.0,130455.0,131926.0,128451.0,132242.0,133523.0,133173.0,130402.0,131891.0,135581.0,138236.0,139043.0,137702.0,132524.0,130516.0,131775.0,135941.0,134938.0,137672.0,138768.0,138325.0,134931.0,139300.0,143649.0,147180.0,144594.0,148969.0,149336.0,153592.0,149615.0,150069.0,151420.0,157239.0,159946.0,158964.0,159809.0,160658.0,161839.0,158265.0,161721.0,160635.0,162196.0,159958.0,162002.0,163896.0,167860.0,168934.0,168725.0,165835.0,168271.0,170023.0,173075.0,168020.0,167519.0,167252.0,171530.0,172191.0,172299.0,174876.0,176877.0,183300.0,183228.0,185518.0,179270.0,183809.0,187685.0,196777.0,194467.0,192475.0,190698.0,197573.0,198713.0,199192.0
394796,154,"Lincoln, NE",msa,NE,194743.0,195122.0,195478.0,199036.0,198015.0,197049.0,191742.0,194309.0,196952.0,201303.0,204313.0,206805.0,206664.0,207352.0,214390.0,214723.0,213023.0,209940.0,209541.0,211105.0,208937.0,211467.0,219646.0,227240.0,230585.0,229323.0,284726.0,291143.0,288586.0,,234618.0,244245.0,244961.0,244839.0,241946.0,249663.0,255267.0,257648.0,250484.0,247675.0,247508.0,254581.0,256140.0,261222.0,268519.0,271351.0,273476.0,276830.0,281311.0,285970.0,274941.0,281427.0,283022.0,295851.0,288336.0,286013.0,287750.0,296190.0,299026.0,302129.0,304291.0,304836.0,296348.0,301864.0,309218.0,311769.0,295954.0,287061.0,289101.0,301312.0,308188.0,316437.0,314591.0,314077.0
394622,155,"Gainesville, FL",msa,FL,203438.0,206105.0,199563.0,207702.0,211889.0,220718.0,219380.0,223704.0,221705.0,214742.0,208673.0,211060.0,212988.0,211208.0,210838.0,213642.0,219641.0,221810.0,228126.0,228286.0,228761.0,217282.0,218716.0,220276.0,227998.0,240342.0,239426.0,244484.0,237889.0,249095.0,250906.0,248667.0,249543.0,251674.0,256845.0,259273.0,263796.0,274651.0,274174.0,281449.0,281892.0,278756.0,279698.0,283418.0,298218.0,308649.0,315545.0,315292.0,309550.0,303720.0,300834.0,300735.0,302277.0,311403.0,313656.0,318458.0,316166.0,318232.0,321445.0,326708.0,326539.0,326323.0,317014.0,320568.0,320587.0,324769.0,327575.0,325462.0,333421.0,334168.0,341939.0,342528.0,341438.0,329352.0
394405,156,"Boulder, CO",msa,CO,629316.0,621073.0,623760.0,615258.0,633184.0,637377.0,650409.0,643495.0,655420.0,657790.0,649447.0,634131.0,650523.0,663175.0,657947.0,657984.0,656525.0,668847.0,659498.0,658029.0,638747.0,629721.0,614669.0,627980.0,660383.0,697003.0,712971.0,713126.0,711131.0,736367.0,742862.0,754397.0,793749.0,825690.0,851817.0,824586.0,813085.0,806947.0,824692.0,846115.0,849967.0,834240.0,874102.0,910960.0,967393.0,966165.0,981800.0,938585.0,930424.0,910042.0,916061.0,898099.0,880767.0,894670.0,931965.0,943649.0,940092.0,917530.0,922614.0,926451.0,914321.0,902407.0,915782.0,985486.0,963634.0,940756.0,897851.0,912763.0,923211.0,934392.0,930663.0,955709.0,950861.0,948947.0
394646,157,"Green Bay, WI",msa,WI,186286.0,186714.0,192328.0,191893.0,191490.0,182306.0,184597.0,189139.0,196128.0,200198.0,202031.0,204365.0,204227.0,204310.0,200607.0,199958.0,196430.0,195120.0,193748.0,196505.0,203679.0,206179.0,210007.0,210482.0,222638.0,224184.0,227273.0,219214.0,223356.0,223352.0,229306.0,230288.0,232838.0,235080.0,240738.0,251976.0,255318.0,260213.0,261425.0,272733.0,280324.0,276111.0,272415.0,276197.0,290293.0,292127.0,288727.0,279838.0,285549.0,289343.0,305662.0,304222.0,307366.0,301068.0,302170.0,301384.0,296448.0,308768.0,320000.0,321518.0,317458.0,311577.0,311948.0,299454.0,296013.0,295587.0,311571.0,319497.0,334950.0,326690.0,330084.0,326423.0,329289.0,323714.0
394488,158,"Columbus, GA",msa,GA,162031.0,157095.0,158523.0,163284.0,164297.0,158997.0,157362.0,157653.0,165314.0,163422.0,161117.0,157736.0,160986.0,165596.0,169451.0,165529.0,162433.0,162542.0,161072.0,164037.0,166244.0,169979.0,169850.0,170185.0,171255.0,175834.0,180407.0,184987.0,190455.0,193406.0,192843.0,192697.0,194626.0,198904.0,202202.0,198885.0,195205.0,194457.0,199855.0,201171.0,201253.0,209515.0,213948.0,212583.0,210453.0,210646.0,213178.0,201058.0,201160.0,204834.0,210823.0,203736.0,195953.0,191895.0,194800.0,200965.0,209948.0,209027.0,207610.0,205788.0,214846.0,216020.0,208636.0,213798.0,217930.0,222351.0,217725.0,211849.0,207341.0,210192.0,218552.0,228373.0,229982.0,228135.0
395107,159,"South Bend, IN",msa,IN,161518.0,166621.0,166360.0,162202.0,153819.0,154482.0,155358.0,158802.0,158673.0,164433.0,169596.0,169006.0,169814.0,168439.0,172695.0,176007.0,184395.0,205585.0,218903.0,221905.0,205006.0,187539.0,179761.0,185003.0,191089.0,200241.0,196546.0,197269.0,192436.0,201451.0,201808.0,199776.0,196637.0,201108.0,209096.0,210846.0,211750.0,213594.0,209935.0,212384.0,214580.0,214380.0,215207.0,210106.0,223941.0,233549.0,246002.0,242115.0,233574.0,228514.0,225906.0,222269.0,212554.0,211228.0,219212.0,225148.0,226340.0,222775.0,225975.0,229476.0,240013.0,244488.0,244686.0,234033.0,229013.0,233984.0,,305778.0,302250.0,252732.0,251229.0,257754.0,259138.0,258997.0
